_id,Fecha,Hora,Latitud,Longitud,Profundidad,Intensidad
ObjectId("5de7c2b94894864d6b0a9ff4"),2019-12-04,01:42:21,15.47,-97.5,16.0 km,3.6
ObjectId("5de7c2b94894864d6b0a9ff6"),2019-12-04,01:33:57,15.97,-97.86,10.0 km,3.6
ObjectId("5de7c2b94894864d6b0a9ff8"),2019-12-04,01:15:06,15.75,-96.31,44.0 km,3.9
ObjectId("5de7c2b94894864d6b0a9ffa"),2019-12-04,01:13:01,15.86,-95.2,10.0 km,4
ObjectId("5de80bda4894864d6b0aa10b"),2019-12-04,12:17:44,13.66,-92.53,15.0 km,4.1
ObjectId("5de87bb74894864d6b0aa24c"),2019-12-04,18:30:55,16.32,-98.27,10.0 km,4
ObjectId("5de87bb74894864d6b0aa24e"),2019-12-04,16:59:08,16.28,-98,3.0 km,3
ObjectId("5de87bb74894864d6b0aa250"),2019-12-04,16:54:23,17.09,-98.12,52.0 km,3.1
ObjectId("5de87bb74894864d6b0aa252"),2019-12-04,14:51:53,19.32,-104.35,48.0 km,3.3
ObjectId("5de87bb74894864d6b0aa254"),2019-12-04,14:42:20,17.07,-100.15,10.0 km,3.6
ObjectId("5de87bb74894864d6b0aa256"),2019-12-04,13:47:03,16.39,-98.4,27.0 km,3.2
ObjectId("5de87bb74894864d6b0aa258"),2019-12-04,13:11:16,16.05,-94.83,34.0 km,3.9
ObjectId("5de87bb74894864d6b0aa25a"),2019-12-04,12:57:32,18.14,-99.99,80.0 km,3.7
ObjectId("5de87bb74894864d6b0aa25c"),2019-12-04,12:46:37,17.63,-101.34,35.0 km,3.6
ObjectId("5de87bb74894864d6b0aa25f"),2019-12-04,11:25:29,16.26,-98.11,11.0 km,3.3
ObjectId("5de87bb74894864d6b0aa261"),2019-12-04,10:46:04,18.04,-103.33,5.0 km,3.6
ObjectId("5de87bb74894864d6b0aa263"),2019-12-04,10:05:30,15.98,-99.03,5.0 km,3.7
ObjectId("5de87bb74894864d6b0aa265"),2019-12-04,09:50:35,13.87,-93.32,5.0 km,3.7
ObjectId("5de87bb74894864d6b0aa267"),2019-12-04,09:30:29,18.23,-100.05,53.0 km,3.6
ObjectId("5de9179e1c149bff06cf88b5"),2019-12-05,04:21:33,16,-98.08,7.0 km,3.4
ObjectId("5de9179e1c149bff06cf88b7"),2019-12-05,04:17:36,17.75,-102.8,15.0 km,4.1
ObjectId("5de9179e1c149bff06cf88b9"),2019-12-05,03:50:36,16.58,-94.49,7.0 km,3.7
ObjectId("5de9179e1c149bff06cf88bb"),2019-12-05,03:28:06,17.03,-94.98,118.0 km,3.9
ObjectId("5de9179e1c149bff06cf88bd"),2019-12-05,03:16:41,16.4,-98.23,16.0 km,3.4
